15;SK Slavia Praha;FK Jablonec
16;SK Dynamo Èeské Budìjovice;1. FC Slovácko
16;FK Pardubice;SK Sigma Olomouc
16;Fastav Zlín;FC Baník Ostrava
16;FC Viktoria Plzeò;Bohemians Praha 1905
16;FC Hradec Králové;MFD OKD Karviná
16;FK Jablonec;FK Mladá Boleslav
16;SK Slavia Praha;FK Teplice
16;AC Sparta Praha;FC Slovan Liberec
17;Bohemians Praha 1905;FK Jablonec
17;MFD OKD Karviná;AC Sparta Praha
17;FC Slovan Liberec;FC Hradec Králové
17;FK Mladá Boleslav;FK Pardubice
17;FC Baník Ostrava;SK Dynamo Èeské Budìjovice
17;SK Sigma Olomouc;SK Slavia Praha
17;1. FC Slovácko;FC Viktoria Plzeò
17;FK Teplice;Fastav Zlín
18;SK Dynamo Èeské Budìjovice;SK Sigma Olomouc
18;FC Hradec Králové;1. FC Slovácko
18;FK Jablonec;FK Teplice
18;FK Pardubice;FC Baník Ostrava
18;FC Viktoria Plzeò;FC Slovan Liberec
18;SK Slavia Praha;FK Mladá Boleslav
18;AC Sparta Praha;Bohemians Praha 1905
18;Fastav Zlín;MFD OKD Karviná
19;Bohemians Praha 1905;FK Pardubice
19;FC Hradec Králové;AC Sparta Praha
19;MFD OKD Karviná;FC Viktoria Plzeò
19;FC Slovan Liberec;SK Dynamo Èeské Budìjovice
19;FC Baník Ostrava;SK Slavia Praha
19;SK Sigma Olomouc;Fastav Zlín
19;1. FC Slovácko;FK Jablonec
19;FK Teplice;FK Mladá Boleslav
20;SK Dynamo Èeské Budìjovice;AC Sparta Praha
20;FK Jablonec;SK Sigma Olomouc
20;FK Mladá Boleslav;FC Baník Ostrava
20;FK Pardubice;1. FC Slovácko
20;FC Viktoria Plzeò;FC Hradec Králové
20;SK Slavia Praha;MFD OKD Karviná
20;FK Teplice;Bohemians Praha 1905
20;Fastav Zlín;FC Slovan Liberec
21;Bohemians Praha 1905;Fastav Zlín
21;FC Hradec Králové;SK Dynamo Èeské Budìjovice
21;MFD OKD Karviná;FK Jablonec
21;FC Slovan Liberec;FK Pardubice
